Rok,Kandidátnílistina,Kandidátnílistina.1,Poř.číslo,Kandidát,Kandidát.1,Věk,Navrh.strana,Polit.přísl.,Hlasy,Hlasy.1,Pořadí,Mandát
Rok,Kandidátnílistina,Kandidátnílistina,Poř.číslo,"Příjmení, jméno",Tituly,Věk,Navrh.strana,Polit.přísl.,abs.,v %,Pořadí,Mandát
2018,9,STAROSTOVÉ A NEZÁVISLÍ,4,Dvořák Luboš,,54,STAN,BEZPP,1 862,3.84,5,*
2018,3,Občanská demokratická strana,10,Džuvarovský Marek,Ing.,43,ODS,ODS,3 388,3.10,10,*
2018,4,ANO 2011+Volba pro Ml.Boleslav,18,Erychleb Radek,,46,VpMB,BEZPP,3 033,3.02,8,
2018,6,Česká str.sociálně demokrat.,6,Fajčíková Ivona,Ing.,30,ČSSD,ČSSD,914,3.09,4,
2018,4,ANO 2011+Volba pro Ml.Boleslav,15,Falta Tomáš,,48,ANO,ANO,2 971,2.96,5,
2018,7,Svob.a př.dem.-T.Okamura (SPD),7,Fejfar Lubomír,,62,SPD,SPD,582,3.13,,
2018,2,TOP 09,20,Fidler Michal,,35,TOP 09,TOP 09,415,2.67,,
2018,8,"Koalice KDU-ČSL, Zelení",6,Filip Jiří,,32,Zelení,Zelení,725,3.51,4,
2018,3,Občanská demokratická strana,9,Francírek Pavel,Ing.,69,ODS,ODS,3 289,3.01,9,*
2018,8,"Koalice KDU-ČSL, Zelení",10,Freml Jan,,40,Zelení,BEZPP,558,2.70,9,
2018,5,KRÁSNÁ MLADÁ BOLESLAV,7,Gajdoš Vladimír,,32,NK,BEZPP,369,3.02,,
2018,5,KRÁSNÁ MLADÁ BOLESLAV,22,Gernát Tomáš,,34,NK,BEZPP,314,2.57,,
2018,5,KRÁSNÁ MLADÁ BOLESLAV,33,Gernátová Petra,,28,NK,BEZPP,284,2.32,,
2018,8,"Koalice KDU-ČSL, Zelení",24,Göldner Kateřina,Mgr.,33,Zelení,BEZPP,521,2.52,22,
2018,1,Komunistická str.Čech a Moravy,5,Grospičová Alena,,61,KSČM,KSČM,808,3.22,4,
2018,8,"Koalice KDU-ČSL, Zelení",27,Gurková Alena,,54,Zelení,BEZPP,487,2.36,25,
2018,4,ANO 2011+Volba pro Ml.Boleslav,21,Hajný Rudolf,Ing.,75,VpMB,BEZPP,2 940,2.93,11,
2018,2,TOP 09,11,Haleš Jan,,41,TOP 09,TOP 09,547,3.52,,
2018,6,Česká str.sociálně demokrat.,33,Hamáček Jan,,39,ČSSD,ČSSD,955,3.23,30,
2018,6,Česká str.sociálně demokrat.,4,Hančarová Jiřina,Mgr.,34,ČSSD,ČSSD,1 029,3.48,1,
